#cpu 34:58.31 total
run, score, built
0, 1, -
1, 0.5, Rebuilt
2, 1, -
3, 0.666667, Rebuilt
4, 0.666667, Rebuilt
5, 0.5, Rebuilt
6, 0.5, Rebuilt
7, 0.75, Rebuilt
8, 0.75, Rebuilt
9, 0.75, Rebuilt
10, 0.75, Rebuilt
11, 0.6, Rebuilt
12, 0.6, Rebuilt
13, 0.6, Rebuilt
14, 0.6, Rebuilt
15, 0.8, -
16, 0.8, -
17, 0.8, -
18, 0.666667, Rebuilt
19, 0.8, -
20, 0.666667, Rebuilt
21, 0.666667, Rebuilt
22, 0.8, -
23, 0.666667, Rebuilt
23, 0.666667, Rebuilt
25, 0.666667, Rebuilt
26, 0.666667, Rebuilt
27, 0.666667, Rebuilt
28, 0.666667, Rebuilt
29, 0.666667, Rebuilt
30, 0.666667, Rebuilt
31, 0.833333, -
32, 0.833333, -
33, 0.833333, -
34, 0.833333, -
35, 0.833333, -
36, 0.833333, -
37, 0.714286, Rebuilt
38, 0.714286, Rebuilt
39, 0.714286, Rebuilt
40, 0.833333, -
41, 0.714286, Rebuilt
42, 0.833333, -
43, 0.833333, -
44, 0.833333, -
45, 0.714286, Rebuilt
46, 0.714286, Rebuilt
47, 0.833333, -
48, 0.833333, -
49, 0.714286, Rebuilt
50, 0.714286, Rebuilt
51, 0.833333, -
52, 0.714286, Rebuilt
53, 0.714286, Rebuilt
54, 0.714286, Rebuilt
55, 0.714286, Rebuilt
56, 0.714286, Rebuilt
57, 0.714286, Rebuilt
58, 0.714286, Rebuilt
59, 0.714286, Rebuilt
60, 0.714286, Rebuilt
61, 0.714286, Rebuilt
62, 0.714286, Rebuilt
63, 0.857143, -
64, 0.857143, -
65, 0.857143, -
66, 0.857143, -
67, 0.857143, -
68, 0.857143, -
69, 0.857143, -
70, 0.857143, -
71, 0.75, Rebuilt
72, 0.857143, -
73, 0.857143, -
74, 0.75, Rebuilt
75, 0.857143, -
76, 0.857143, -
77, 0.857143, -
78, 0.857143, -
79, 0.857143, -
80, 0.857143, -
81, 0.75, Rebuilt
82, 0.857143, -
83, 0.857143, -
84, 0.857143, -
85, 0.75, Rebuilt
86, 0.857143, -
87, 0.857143, -
88, 0.75, Rebuilt
89, 0.75, Rebuilt
90, 0.857143, -
91, 0.857143, -
92, 0.75, Rebuilt
93, 0.857143, -
94, 0.857143, -
95, 0.75, Rebuilt
96, 0.75, Rebuilt
97, 0.857143, -
98, 0.75, Rebuilt
99, 0.75, Rebuilt
100, 0.75, Rebuilt
101, 0.75, Rebuilt
102, 0.857143, -
103, 0.75, Rebuilt
104, 0.75, Rebuilt
105, 0.857143, -
106, 0.75, Rebuilt
107, 0.857143, -
108, 0.75, Rebuilt
109, 0.75, Rebuilt
110, 0.75, Rebuilt
111, 0.75, Rebuilt
112, 0.75, Rebuilt
113, 0.75, Rebuilt
114, 0.75, Rebuilt
115, 0.75, Rebuilt
116, 0.857143, -
117, 0.75, Rebuilt
118, 0.75, Rebuilt
119, 0.75, Rebuilt
120, 0.857143, -
121, 0.75, Rebuilt
122, 0.75, Rebuilt
123, 0.75, Rebuilt
124, 0.75, Rebuilt
125, 0.75, Rebuilt
126, 0.75, Rebuilt
127, 0.875, -
128, 0.875, -
129, 0.875, -
130, 0.875, -
131, 0.777778, Rebuilt
132, 0.875, -
133, 0.875, -
134, 0.875, -
135, 0.875, -
136, 0.875, -
137, 0.875, -
138, 0.875, -
139, 0.875, -
140, 0.875, -
141, 0.875, -
142, 0.875, -
143, 0.777778, Rebuilt
144, 0.875, -
145, 0.875, -
146, 0.875, -
147, 0.875, -
148, 0.777778, Rebuilt
149, 0.777778, Rebuilt
150, 0.875, -
151, 0.777778, Rebuilt
152, 0.875, -
153, 0.875, -
154, 0.777778, Rebuilt
154, 0.777778, Rebuilt
156, 0.777778, Rebuilt
157, 0.777778, Rebuilt
158, 0.875, -
159, 0.875, -
160, 0.777778, Rebuilt
161, 0.777778, Rebuilt
162, 0.777778, Rebuilt
163, 0.875, -
164, 0.875, -
165, 0.777778, Rebuilt
166, 0.875, -
167, 0.875, -
168, 0.777778, Rebuilt
169, 0.777778, Rebuilt
170, 0.777778, Rebuilt
171, 0.875, -
172, 0.875, -
173, 0.875, -
174, 0.777778, Rebuilt
175, 0.777778, Rebuilt
176, 0.777778, Rebuilt
177, 0.875, -
178, 0.777778, Rebuilt
179, 0.777778, Rebuilt
180, 0.875, -
181, 0.777778, Rebuilt
182, 0.777778, Rebuilt
183, 0.875, -
184, 0.875, -
185, 0.777778, Rebuilt
186, 0.777778, Rebuilt
187, 0.777778, Rebuilt
188, 0.777778, Rebuilt
189, 0.777778, Rebuilt
190, 0.875, -
191, 0.777778, Rebuilt
192, 0.777778, Rebuilt
193, 0.777778, Rebuilt
194, 0.777778, Rebuilt
195, 0.875, -
196, 0.875, -
197, 0.777778, Rebuilt
198, 0.777778, Rebuilt
199, 0.777778, Rebuilt
200, 0.777778, Rebuilt
201, 0.777778, Rebuilt
202, 0.777778, Rebuilt
203, 0.777778, Rebuilt
204, 0.777778, Rebuilt
205, 0.777778, Rebuilt
206, 0.777778, Rebuilt
207, 0.875, -
208, 0.875, -
209, 0.777778, Rebuilt
210, 0.777778, Rebuilt
211, 0.777778, Rebuilt
212, 0.875, -
213, 0.777778, Rebuilt
214, 0.777778, Rebuilt
215, 0.777778, Rebuilt
216, 0.777778, Rebuilt
217, 0.777778, Rebuilt
218, 0.777778, Rebuilt
219, 0.777778, Rebuilt
220, 0.777778, Rebuilt
221, 0.777778, Rebuilt
222, 0.777778, Rebuilt
223, 0.777778, Rebuilt
224, 0.777778, Rebuilt
225, 0.777778, Rebuilt
226, 0.777778, Rebuilt
227, 0.777778, Rebuilt
228, 0.875, -
229, 0.875, -
230, 0.777778, Rebuilt
231, 0.777778, Rebuilt
232, 0.777778, Rebuilt
233, 0.777778, Rebuilt
234, 0.777778, Rebuilt
235, 0.777778, Rebuilt
236, 0.875, -
237, 0.777778, Rebuilt
238, 0.777778, Rebuilt
239, 0.777778, Rebuilt
240, 0.777778, Rebuilt
240, 0.875, -
242, 0.777778, Rebuilt
243, 0.777778, Rebuilt
244, 0.777778, Rebuilt
245, 0.777778, Rebuilt
246, 0.777778, Rebuilt
247, 0.777778, Rebuilt
248, 0.777778, Rebuilt
249, 0.777778, Rebuilt
250, 0.777778, Rebuilt
251, 0.777778, Rebuilt
252, 0.777778, Rebuilt
253, 0.777778, Rebuilt
254, 0.777778, Rebuilt
255, 0.888889, -
256, 0.888889, -
257, 0.888889, -
258, 0.888889, -
259, 0.888889, -
260, 0.888889, -
261, 0.888889, -
262, 0.888889, -
263, 0.888889, -
264, 0.888889, -
265, 0.888889, -
266, 0.888889, -
267, 0.888889, -
268, 0.888889, -
269, 0.888889, -
270, 0.888889, -
271, 0.888889, -
272, 0.888889, -
273, 0.888889, -
274, 0.8, -
275, 0.8, -
276, 0.8, -
277, 0.8, -
278, 0.8, -
279, 0.8, -
280, 0.8, -
281, 0.8, -
282, 0.8, -
283, 0.8, -
284, 0.8, -
285, 0.8, -
286, 0.8, -
287, 0.8, -
288, 0.8, -
289, 0.8, -
290, 0.8, -
291, 0.8, -
292, 0.8, -
293, 0.8, -
294, 0.8, -
295, 0.8, -
296, 0.8, -
297, 0.8, -
298, 0.8, -
299, 0.8, -
300, 0.8, -
301, 0.8, -
302, 0.8, -
303, 0.8, -
304, 0.8, -
305, 0.8, -
306, 0.8, -
307, 0.8, -
308, 0.8, -
309, 0.8, -
310, 0.727273, Rebuilt
311, 0.888889, -
312, 0.888889, -
313, 0.888889, -
314, 0.888889, -
315, 0.888889, -
316, 0.8, -
317, 0.8, -
318, 0.8, -
319, 0.8, -
320, 0.8, -
321, 0.8, -
322, 0.8, -
323, 0.8, -
324, 0.8, -
325, 0.8, -
326, 0.8, -
327, 0.8, -
328, 0.8, -
329, 0.8, -
330, 0.8, -
331, 0.8, -
332, 0.8, -
333, 0.8, -
334, 0.8, -
335, 0.8, -
336, 0.8, -
337, 0.8, -
338, 0.8, -
339, 0.8, -
340, 0.8, -
341, 0.8, -
342, 0.8, -
343, 0.8, -
344, 0.8, -
345, 0.8, -
346, 0.8, -
347, 0.8, -
348, 0.8, -
349, 0.8, -
350, 0.8, -
351, 0.8, -
352, 0.8, -
353, 0.8, -
354, 0.727273, Rebuilt
355, 0.8, -
356, 0.8, -
357, 0.8, -
358, 0.8, -
359, 0.8, -
360, 0.8, -
361, 0.8, -
362, 0.8, -
363, 0.8, -
364, 0.8, -
365, 0.8, -
366, 0.727273, Rebuilt
367, 0.8, -
368, 0.8, -
369, 0.8, -
370, 0.8, -
371, 0.8, -
372, 0.8, -
373, 0.8, -
374, 0.8, -
375, 0.8, -
376, 0.8, -
377, 0.8, -
378, 0.8, -
379, 0.8, -
380, 0.727273, Rebuilt
381, 0.8, -
382, 0.8, -
383, 0.8, -
384, 0.8, -
385, 0.8, -
386, 0.8, -
387, 0.8, -
388, 0.8, -
389, 0.8, -
390, 0.8, -
391, 0.8, -
392, 0.8, -
393, 0.8, -
394, 0.8, -
395, 0.727273, Rebuilt
396, 0.888889, -
397, 0.888889, -
398, 0.8, -
399, 0.8, -
400, 0.8, -
401, 0.8, -
402, 0.8, -
403, 0.8, -
404, 0.727273, Rebuilt
405, 0.8, -
406, 0.8, -
407, 0.8, -
408, 0.8, -
409, 0.8, -
410, 0.8, -
411, 0.8, -
412, 0.8, -
413, 0.8, -
414, 0.8, -
415, 0.8, -
416, 0.8, -
417, 0.8, -
418, 0.8, -
419, 0.727273, Rebuilt
420, 0.8, -
421, 0.8, -
422, 0.8, -
423, 0.8, -
424, 0.8, -
425, 0.8, -
426, 0.8, -
427, 0.8, -
428, 0.8, -
429, 0.8, -
430, 0.8, -
431, 0.8, -
432, 0.8, -
433, 0.8, -
434, 0.8, -
435, 0.8, -
436, 0.8, -
437, 0.8, -
438, 0.8, -
439, 0.8, -
440, 0.727273, Rebuilt
441, 0.8, -
442, 0.8, -
443, 0.8, -
444, 0.8, -
445, 0.8, -
