initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,-31.2984,3.14652,402.372,3.0414,0.298127,0.888003,3.12605,3.09063,DE_Adam
0,0,0,0,0,-211.93,-22.9672,371.059,3.24939,0.990158,1.67411,5.33933,0.988303,PSO_Adam
0,0,0,0,0,15.9791,238.127,88.1676,1.50362,2.25597,3.50508,1.55433,1.68825,DE_Adam
0,0,0,0,0,279.149,359.489,261.616,0.910282,6.25176,1.22428,0.350272,5.73413,GA_Adam
0,0,0,0,0,-85.2035,230.634,545.822,1.9244,1.11132,0.692985,0.398491,5.36892,SGO_Adam
0,0,0,0,0,-171.952,60.2212,178.961,5.94601,0.829043,3.02127,0.836312,0.906191,TLBO_Adam
0,0,0,0,0,-76.4646,-3.6114,329.279,0.0471921,2.4731,1.6827,4.87499,0.0907237,DE_Adam
0,0,0,0,0,-283.273,-239.465,399.047,0.701633,2.21496,0.92558,0.941893,1.46502,DE_Adam
0,0,0,0,0,-160.197,263.562,210.217,2.1168,4.79753,1.84854,2.10266,0.486989,SGO_Adam
0,0,0,0,0,365.277,267.471,212.773,3.77348,2.77349,0.661453,1.0497,4.04251,SGO_Adam
0,0,0,0,0,367.902,66.6758,216.236,0.179124,5.10973,1.75409,1.67797,2.76285,PSO_Adam
0,0,0,0,0,-83.4503,-464.805,233.148,4.53451,0.577179,0.0752134,0.539534,0.191397,GA_Adam
0,0,0,0,0,-310.678,153.538,115.021,2.68243,0.324491,0.685127,5.72429,1.75357,SGO_Adam
0,0,0,0,0,68.1198,-270.999,463.604,1.817,3.1188,5.3379,1.34907,1.90659,DE_Adam
0,0,0,0,0,-290.032,313.421,338.227,2.31726,0.518457,0.732926,0.255502,0.572269,SGO_Adam
0,0,0,0,0,359.944,244.857,14.8778,3.73895,3.03993,0.319539,1.92978,4.3676,PSO_Adam
0,0,0,0,0,-116.596,193.036,545.495,2.114,1.15475,0.755184,0.297924,5.36892,NN_Adam
0,0,0,0,0,472.606,-229.488,44.0074,5.83109,5.90424,0.141683,1.744,5.00623,SGO_Adam
0,0,0,0,0,-177.436,-338.647,431.817,1.088,2.65972,5.96526,1.80705,2.04068,SGO_Adam
0,0,0,0,0,14.5185,424.526,243.131,1.53638,0.86519,6.11988,0.343485,2.05852,GA_Adam
0,0,0,0,0,-76.2723,104.853,486.697,2.19966,6.26185,1.55455,1.90342,3.33779,PSO_Adam
0,0,0,0,0,-11.9677,510.573,216.279,1.59399,0.152572,0.471352,0.793838,0.458874,GA_Adam
0,0,0,0,0,307.534,-429.109,163.674,5.33417,6.104,0.566021,1.15322,6.0557,SGO_Adam
0,0,0,0,0,166.595,339.719,289.555,1.11472,1.50899,4.34552,2.20231,2.83862,PSO_Adam
0,0,0,0,0,112.168,127.552,162.29,0.849512,4.48029,1.45081,3.28115,1.14695,SGO_Adam
0,0,0,0,0,-379.589,-330.218,223.123,3.8574,0.420763,0.0891315,0.812702,3.41488,DE_Adam
0,0,0,0,0,-159.084,401.102,18.5868,5.08979,2.99308,0.356599,1.96529,2.53861,SGO_Adam
0,0,0,0,0,-196.25,83.5365,484.354,2.73895,2.21948,4.94012,1.22488,5.93834,TLBO_Adam
0,0,0,0,0,502.344,190.235,169.202,0.361954,6.18745,0.115266,1.70988,2.32665,SGO_Adam
0,0,0,0,0,-349.388,241.588,131.982,2.53677,0.0679668,0.948346,6.13538,1.75357,NN_Adam
0,0,0,0,0,26.5115,321.365,199.939,1.48837,6.27617,2.16791,5.4224,4.84654,SGO_Adam
0,0,0,0,0,-431.539,-126.611,118.425,3.42682,0.0681568,0.741321,0.079885,0.721104,DE_Adam
0,0,0,0,0,158.709,-387.493,224.502,5.10101,0.785408,6.25529,0.20152,2.87431,SGO_Adam
0,0,0,0,0,122.08,-164.932,419.641,2.20792,3.57465,4.46595,1.72248,1.61524,GA_Adam
0,0,0,0,0,-334.684,128.476,142.165,2.77504,0.367164,0.738827,5.7632,1.75357,NN_Adam
0,0,0,0,0,475.364,-116.477,364.926,6.04287,0.335002,0.0907998,1.68107,5.4841,SGO_Adam
0,0,0,0,0,-155.896,74.0646,480.226,2.69782,2.40583,4.91453,1.07949,5.93834,NN_Adam
0,0,0,0,0,-241.001,-399.114,188.958,1.02751,2.8505,0.169138,1.77991,1.4549,SGO_Adam
0,0,0,0,0,192.718,-339.324,78.1218,2.08717,3.5468,0.476414,0.22969,4.79934,GA_Adam
0,0,0,0,0,94.8227,352.114,80.8278,1.30758,1.16295,4.78535,1.04989,1.11678,PSO_Adam
0,0,0,0,0,-415.957,-50.5083,232.895,3.26228,0.405499,0.780243,6.18783,0.458783,GA_Adam
0,0,0,0,0,-69.6072,-28.4703,0.0430829,0.38828,0.221705,2.93948,2.51287,5.50527,DE_Adam
0,0,0,0,0,367.502,65.0593,190.425,0.175317,5.00966,1.75895,1.71774,2.76285,NN_Adam
0,0,0,0,0,168.161,-37.4733,25.5007,6.06374,2.81999,3.35088,0.886934,4.42808,SGO_Adam
0,0,0,0,0,-165.452,205.929,82.9697,2.24759,4.21877,1.68084,2.5551,0.164514,SGO_Adam
0,0,0,0,0,-152.68,120.513,317.313,2.47322,0.956871,2.99664,4.60906,6.17791,SGO_Adam
0,0,0,0,0,-241.561,298.584,117.763,2.25089,0.409367,0.370371,6.0488,6.07848,GA_Adam
0,0,0,0,0,-250.204,277.501,436.875,2.30448,1.04464,0.16798,0.493532,2.03274,PSO_Adam
0,0,0,0,0,87.5427,-272.121,126.274,1.88185,1.6976,2.20899,1.18677,5.01784,PSO_Adam
0,0,0,0,0,34.7421,-174.75,135.445,4.90864,1.30802,5.39874,5.77589,5.26321,TLBO_Adam
0,0,0,0,0,-172.816,-147.219,454.306,0.705346,1.22095,1.47312,1.52287,0.873547,GA_Adam
0,0,0,0,0,-317.616,-285.799,136.172,3.87426,5.69002,1.75533,0.18556,1.08158,SGO_Adam
0,0,0,0,0,-292.521,-67.0824,129.239,0.225251,2.66625,5.91008,3.48048,3.84344,SGO_Adam
0,0,0,0,0,-516.956,-84.2444,145.74,3.30288,6.03518,0.659818,1.07936,0.721104,NN_Adam
0,0,0,0,0,21.2882,-421.458,351.426,1.62105,2.92946,5.79378,1.87208,1.34452,SGO_Adam
0,0,0,0,0,8.9863,-331.375,381.546,1.59788,3.4249,5.17043,1.43867,1.34452,NN_Adam
0,0,0,0,0,-230.044,-130.663,503.132,0.51645,1.79089,0.273129,2.24199,0.906681,DE_Adam
0,0,0,0,0,29.9907,188.321,165.057,1.41233,3.18557,3.79025,0.591969,1.68825,NN_Adam
0,0,0,0,0,-282.229,45.4089,352.753,2.98195,0.732056,1.47098,5.61947,0.988303,NN_Adam
0,0,0,0,0,327.287,308.526,118.16,0.755749,6.23479,5.27776,3.08093,5.4464,GA_Adam
0,0,0,0,0,192.018,-475.585,183.996,5.09581,0.36193,6.26747,0.926995,1.80074,GA_Adam
0,0,0,0,0,-473.046,-217.483,219.96,3.57247,6.11932,0.264608,1.86975,0.384745,SGO_Adam
0,0,0,0,0,386.297,-119.38,231.323,2.84169,2.50395,1.28156,0.583265,2.71482,DE_Adam
0,0,0,0,0,-125.843,208.924,198.852,2.11263,4.41025,2.02799,2.38158,0.486989,NN_Adam
0,0,0,0,0,-97.5044,-226.327,2.14323,1.16394,2.19413,2.36788,0.832261,0.324958,GA_Adam
0,0,0,0,0,206.571,-57.7947,201.196,2.86859,3.45275,3.37785,4.02009,6.22657,SGO_Adam
0,0,0,0,0,55.062,-328.797,302.564,1.73664,3.78494,5.06303,1.21253,1.34452,NN_Adam
0,0,0,0,0,-359.461,109.841,412.113,2.84468,0.117877,0.163415,2.58365,2.06914,SGO_Adam
0,0,0,0,0,141.43,-188.864,69.4791,2.2134,4.82455,3.59261,2.75217,2.21858,PSO_Adam
