#cpu 33:57.19 total
run, score, built
0, 1, -
1, 0.5, -
2, 1, -
3, 0.666667, -
4, 0.666667, -
5, 0.5, -
6, 0.4, -
7, 0.4, -
8, 0.333333, -
9, 0.333333, -
10, 0.5, -
11, 0.5, -
12, 0.5, -
13, 0.5, -
14, 0.5, -
15, 0.5, -
16, 0.428571, -
17, 0.428571, -
18, 0.428571, -
19, 0.428571, -
20, 0.375, -
21, 0.375, -
22, 0.375, -
23, 0.375, -
24, 0.375, -
25, 0.375, -
26, 0.375, -
27, 0.375, -
28, 0.375, -
29, 0.375, -
30, 0.375, -
31, 0.375, -
32, 0.375, -
33, 0.375, -
34, 0.375, -
35, 0.375, -
36, 0.375, -
37, 0.375, -
38, 0.375, -
39, 0.333333, -
40, 0.333333, -
41, 0.333333, -
42, 0.333333, -
43, 0.333333, -
44, 0.333333, -
45, 0.333333, -
46, 0.333333, -
47, 0.333333, -
48, 0.333333, -
49, 0.3, -
50, 0.3, -
51, 0.3, -
52, 0.3, -
53, 0.3, -
54, 0.3, -
55, 0.3, -
56, 0.3, -
57, 0.3, -
58, 0.3, -
59, 0.3, -
60, 0.3, -
61, 0.3, -
62, 0.3, -
63, 0.3, -
64, 0.3, -
65, 0.3, -
66, 0.3, -
67, 0.3, -
68, 0.3, -
69, 0.3, -
70, 0.3, -
71, 0.3, -
72, 0.3, -
73, 0.272727, -
74, 0.272727, -
75, 0.272727, -
76, 0.272727, -
77, 0.272727, -
78, 0.272727, -
79, 0.272727, -
80, 0.272727, -
81, 0.272727, -
82, 0.272727, -
83, 0.272727, -
84, 0.272727, -
85, 0.272727, -
86, 0.272727, -
87, 0.272727, -
88, 0.272727, -
89, 0.272727, -
90, 0.272727, -
91, 0.272727, -
92, 0.363636, -
93, 0.363636, -
94, 0.363636, -
95, 0.363636, -
96, 0.363636, -
97, 0.363636, -
98, 0.363636, -
99, 0.363636, -
100, 0.363636, -
101, 0.363636, -
102, 0.363636, -
103, 0.363636, -
104, 0.363636, -
105, 0.363636, -
106, 0.363636, -
107, 0.363636, -
108, 0.363636, -
109, 0.363636, -
110, 0.363636, -
111, 0.363636, -
112, 0.363636, -
113, 0.333333, -
114, 0.333333, -
115, 0.333333, -
116, 0.333333, -
117, 0.333333, -
118, 0.333333, -
119, 0.333333, -
120, 0.333333, -
121, 0.333333, -
122, 0.333333, -
123, 0.333333, -
124, 0.333333, -
125, 0.333333, -
126, 0.333333, -
127, 0.333333, -
128, 0.333333, -
129, 0.333333, -
130, 0.333333, -
131, 0.333333, -
132, 0.333333, -
133, 0.333333, -
134, 0.333333, -
135, 0.333333, -
136, 0.333333, -
137, 0.333333, -
138, 0.333333, -
139, 0.333333, -
140, 0.333333, -
141, 0.333333, -
142, 0.333333, -
143, 0.333333, -
144, 0.333333, -
145, 0.333333, -
146, 0.333333, -
147, 0.333333, -
148, 0.333333, -
149, 0.333333, -
150, 0.333333, -
151, 0.333333, -
152, 0.307692, -
153, 0.307692, -
154, 0.307692, -
155, 0.307692, -
156, 0.307692, -
157, 0.307692, -
158, 0.307692, -
159, 0.307692, -
160, 0.307692, -
161, 0.307692, -
162, 0.307692, -
163, 0.285714, -
164, 0.285714, -
165, 0.285714, -
166, 0.285714, -
167, 0.285714, -
168, 0.285714, -
169, 0.285714, -
170, 0.285714, -
171, 0.285714, -
172, 0.285714, -
173, 0.285714, -
174, 0.285714, -
175, 0.285714, -
176, 0.285714, -
177, 0.285714, -
178, 0.285714, -
179, 0.285714, -
180, 0.285714, -
181, 0.285714, -
182, 0.285714, -
183, 0.285714, -
184, 0.285714, -
185, 0.285714, -
185, 0.285714, -
187, 0.285714, -
188, 0.285714, -
189, 0.285714, -
189, 0.285714, -
191, 0.285714, -
192, 0.285714, -
193, 0.285714, -
194, 0.285714, -
195, 0.285714, -
196, 0.285714, -
197, 0.285714, -
198, 0.285714, -
199, 0.285714, -
200, 0.285714, -
201, 0.285714, -
202, 0.285714, -
203, 0.285714, -
204, 0.285714, -
205, 0.285714, -
206, 0.285714, -
207, 0.285714, -
208, 0.285714, -
209, 0.285714, -
210, 0.285714, -
211, 0.285714, -
212, 0.285714, -
213, 0.285714, -
214, 0.285714, -
215, 0.285714, -
216, 0.285714, -
217, 0.285714, -
218, 0.285714, -
219, 0.285714, -
220, 0.285714, -
221, 0.285714, -
222, 0.285714, -
223, 0.285714, -
224, 0.285714, -
225, 0.266667, -
226, 0.266667, -
227, 0.266667, -
228, 0.266667, -
229, 0.266667, -
230, 0.266667, -
231, 0.266667, -
232, 0.266667, -
233, 0.266667, -
234, 0.266667, -
235, 0.266667, -
236, 0.266667, -
237, 0.266667, -
238, 0.266667, -
239, 0.266667, -
240, 0.266667, -
241, 0.266667, -
242, 0.266667, -
242, 0.266667, -
244, 0.266667, -
245, 0.266667, -
246, 0.266667, -
247, 0.266667, -
248, 0.266667, -
249, 0.266667, -
250, 0.266667, -
251, 0.266667, -
252, 0.266667, -
253, 0.266667, -
254, 0.266667, -
255, 0.266667, -
256, 0.266667, -
257, 0.266667, -
258, 0.266667, -
259, 0.266667, -
260, 0.266667, -
261, 0.266667, -
262, 0.266667, -
263, 0.266667, -
264, 0.266667, -
265, 0.266667, -
266, 0.266667, -
267, 0.266667, -
268, 0.266667, -
269, 0.266667, -
270, 0.266667, -
271, 0.266667, -
272, 0.266667, -
273, 0.266667, -
274, 0.266667, -
275, 0.266667, -
276, 0.266667, -
277, 0.25, -
278, 0.25, -
279, 0.25, -
280, 0.25, -
281, 0.25, -
282, 0.25, -
283, 0.25, -
284, 0.25, -
285, 0.25, -
286, 0.25, -
287, 0.25, -
288, 0.25, -
289, 0.25, -
290, 0.25, -
291, 0.25, -
292, 0.25, -
293, 0.25, -
294, 0.25, -
295, 0.25, -
296, 0.25, -
297, 0.25, -
298, 0.25, -
299, 0.25, -
300, 0.25, -
301, 0.25, -
302, 0.25, -
303, 0.25, -
304, 0.25, -
305, 0.25, -
306, 0.25, -
307, 0.25, -
308, 0.25, -
309, 0.25, -
310, 0.25, -
311, 0.25, -
312, 0.25, -
313, 0.25, -
314, 0.25, -
315, 0.25, -
316, 0.25, -
317, 0.25, -
318, 0.25, -
319, 0.25, -
320, 0.25, -
321, 0.25, -
322, 0.25, -
323, 0.25, -
324, 0.235294, -
325, 0.235294, -
326, 0.235294, -
327, 0.235294, -
328, 0.235294, -
329, 0.235294, -
330, 0.235294, -
331, 0.235294, -
332, 0.235294, -
333, 0.235294, -
334, 0.235294, -
335, 0.235294, -
336, 0.235294, -
337, 0.235294, -
338, 0.235294, -
339, 0.235294, -
340, 0.235294, -
341, 0.235294, -
342, 0.235294, -
343, 0.235294, -
344, 0.235294, -
345, 0.235294, -
346, 0.235294, -
347, 0.235294, -
348, 0.235294, -
349, 0.235294, -
350, 0.235294, -
351, 0.235294, -
352, 0.235294, -
353, 0.235294, -
354, 0.235294, -
355, 0.235294, -
356, 0.235294, -
357, 0.235294, -
358, 0.235294, -
359, 0.235294, -
360, 0.235294, -
361, 0.235294, -
362, 0.235294, -
363, 0.235294, -
364, 0.235294, -
365, 0.235294, -
366, 0.235294, -
366, 0.235294, -
368, 0.235294, -
369, 0.235294, -
370, 0.235294, -
371, 0.235294, -
372, 0.235294, -
373, 0.235294, -
374, 0.235294, -
375, 0.235294, -
376, 0.235294, -
377, 0.235294, -
378, 0.235294, -
379, 0.235294, -
380, 0.235294, -
381, 0.235294, -
382, 0.235294, -
383, 0.235294, -
384, 0.235294, -
385, 0.235294, -
386, 0.235294, -
387, 0.235294, -
388, 0.235294, -
389, 0.235294, -
390, 0.235294, -
391, 0.235294, -
392, 0.235294, -
393, 0.235294, -
394, 0.235294, -
395, 0.235294, -
396, 0.235294, -
397, 0.235294, -
398, 0.235294, -
399, 0.235294, -
400, 0.235294, -
401, 0.235294, -
402, 0.235294, -
403, 0.235294, -
404, 0.235294, -
405, 0.235294, -
406, 0.235294, -
407, 0.235294, -
408, 0.235294, -
409, 0.235294, -
410, 0.235294, -
411, 0.235294, -
412, 0.235294, -
413, 0.235294, -
414, 0.235294, -
415, 0.235294, -
416, 0.235294, -
417, 0.235294, -
418, 0.294118, -
419, 0.294118, -
420, 0.294118, -
421, 0.294118, -
422, 0.294118, -
423, 0.294118, -
424, 0.294118, -
425, 0.294118, -
426, 0.294118, -
427, 0.294118, -
428, 0.294118, -
429, 0.294118, -
430, 0.294118, -
431, 0.294118, -
432, 0.294118, -
433, 0.294118, -
434, 0.277778, -
